x,y
982,1121.540584
783,966.0623201
509,872.8037357
558,923.9481049
719,1115.940203
178,510.5610638
982,1088.062402
169,202.6828068
-51,-14.19726852
805,1213.64644
873,1052.871422
746,868.547532
601,981.9214246
-96,1.768780113
985,1171.837547
643,1037.974291
327,403.9711146
282,385.7298477
130,437.8111681
472,576.0795618
670,855.1721405
-26,278.3833529
653,1015.984611
643,1029.133135
286,637.6258956
384,467.9414529
863,1271.716756
706,889.9609356
-17,-4.991876878
946,1366.667441
242,333.8328344
525,901.1335273
366,703.5867445
253,267.0902484
525,653.5075991
964,1111.378238
281,626.9728594
529,898.1736346
-12,279.2270601
127,171.8619759
838,966.4609458
-75,213.5304324
-18,80.24837019
3,59.92300281
813,957.3322194
925,1353.235933
515,896.0746141
140,185.1820311
878,1073.490308
573,668.4588641
708,1081.852023
576,927.9257849
-48,277.8566664
124,451.0751857
428,562.7645153
66,158.8937601
80,401.1921614
668,1054.415951
462,816.2803302
671,1080.328921
198,276.1887251
686,1081.015956
799,917.5520946
87,416.5543598
995,1426.149184
300,653.6481065
69,145.4504104
316,387.2644645
401,488.5251307
726,1125.700813
485,618.4151078
609,990.0049949
72,162.9971167
86,404.4431329
-15,79.35897554
488,843.9162709
636,754.885874
817,1224.44544
174,499.8968442
724,758.0840051
318,675.0122211
204,543.7305627
511,631.8914975
430,528.7486794
774,1172.744628
870,1271.10784
344,420.1762525
619,775.5612981
315,673.171788
980,1404.977869
760,955.777885
763,1158.45067
428,568.4985913
996,1228.650949
4,312.4403261
806,932.7302
-29,29.83417386
-18,275.2108635
131,205.4382736
-88,217.8146101
855,972.7795192
108,438.1323212
241,383.8483482
799,1003.480245
183,500.3641018
563,946.9592131
759,851.8413076
747,929.5029227
-80,-18.91671877
307,660.2150248
239,563.3553949
168,229.1415043
553,632.5921185
478,540.8923839
660,1029.23384
377,560.6858467
308,405.0250529
995,1405.237295
83,109.2924428
-11,77.95239082
761,953.3862781
364,433.6316572
780,961.4733198
290,372.2016591
-27,55.36771919
835,1239.254058
7,88.02021473
38,336.2953051
563,714.9218288
497,868.3254109
207,553.4409009
458,802.0589018
446,471.5131114
220,559.6020998
353,709.1754533
573,699.8668306
-15,282.3551373
532,639.9820941
795,1009.065896
108,429.7565375
697,1078.232484
399,499.1846595
264,598.281535
483,581.0250684
282,622.5681081
417,768.8207973
264,327.3925253
607,700.4503236
-43,-34.15063079
98,415.2501735
487,861.7732221
453,559.0064448
341,424.8711685
806,1200.308231
39,362.5657391
702,880.6001969
143,474.2041242
547,913.4635446
714,1100.42939
590,679.1232548
695,1076.370143
20,91.79851587
801,888.401174
910,1315.242299
461,587.216846
313,411.2129022
548,907.3850307
550,933.8537757
360,405.1971975
-84,197.8894924
741,1139.950086
430,542.9920468
142,223.3251576
949,1109.048595
385,716.7841129
376,506.7103077
777,933.7125708
552,920.0676004
-29,61.10993481
105,233.3465093
74,102.2080716
-96,211.3686827
648,1039.40354
175,280.692984
28,358.0840154
401,752.0512713
675,785.3478152
519,607.5299612
