x,y,cat
982.0,1121.540584,1
783.0,966.0623201,1
509.0,872.8037357,1
558.0,923.9481049,0
719.0,1115.940203,1
178.0,510.5610638,1
982.0,1088.062402,0
169.0,202.6828068,1
-51.0,-14.19726852,1
805.0,1213.64644,0
873.0,1052.871422,0
746.0,868.547532,1
601.0,981.9214246,1
-96.0,1.768780113,0
985.0,1171.837547,1
643.0,1037.974291,1
327.0,403.9711146,1
282.0,385.7298477,0
130.0,437.8111681,1
472.0,576.0795618,1
670.0,855.1721405,1
-26.0,278.3833529,1
653.0,1015.984611,0
643.0,1029.133135,1
286.0,637.6258956,0
384.0,467.9414529,0
863.0,1271.716756,0
706.0,889.9609356,0
-17.0,-4.991876878,0
946.0,1366.667441,0
242.0,333.8328344,0
525.0,901.1335273,0
366.0,703.5867445,0
253.0,267.0902484,0
525.0,653.5075991,0
964.0,1111.378238,1
281.0,626.9728594,0
529.0,898.1736346,1
-12.0,279.2270601,0
127.0,171.8619759,0
838.0,966.4609458,0
-75.0,213.5304324,0
-18.0,80.24837019,1
3.0,59.92300281,0
813.0,957.3322194,0
925.0,1353.235933,1
515.0,896.0746141,0
140.0,185.1820311,1
878.0,1073.490308,0
573.0,668.4588641,1
708.0,1081.852023,1
576.0,927.9257849,0
-48.0,277.8566664,1
124.0,451.0751857,1
428.0,562.7645153,1
66.0,158.8937601,1
80.0,401.1921614,0
668.0,1054.415951,1
462.0,816.2803302,1
671.0,1080.328921,0
198.0,276.1887251,0
686.0,1081.015956,1
799.0,917.5520946,1
87.0,416.5543598,0
995.0,1426.149184,0
300.0,653.6481065,1
69.0,145.4504104,0
316.0,387.2644645,1
401.0,488.5251307,0
726.0,1125.700813,0
485.0,618.4151078,1
609.0,990.0049949,1
72.0,162.9971167,1
86.0,404.4431329,1
-15.0,79.35897554,0
488.0,843.9162709,0
636.0,754.885874,1
817.0,1224.44544,1
174.0,499.8968442,1
724.0,758.0840051,1
318.0,675.0122211,1
204.0,543.7305627,0
511.0,631.8914975,1
430.0,528.7486794,1
774.0,1172.744628,0
870.0,1271.10784,1
344.0,420.1762525,0
619.0,775.5612981,1
315.0,673.171788,0
980.0,1404.977869,0
760.0,955.777885,1
763.0,1158.45067,1
428.0,568.4985913,1
996.0,1228.650949,1
4.0,312.4403261,0
806.0,932.7302,1
-29.0,29.83417386,0
-18.0,275.2108635,0
131.0,205.4382736,1
-88.0,217.8146101,1
855.0,972.7795192,1
108.0,438.1323212,1
241.0,383.8483482,1
799.0,1003.480245,0
183.0,500.3641018,0
563.0,946.9592131,0
759.0,851.8413076,1
747.0,929.5029227,1
-80.0,-18.91671877,0
307.0,660.2150248,1
239.0,563.3553949,0
168.0,229.1415043,1
553.0,632.5921185,0
478.0,540.8923839,0
660.0,1029.23384,1
377.0,560.6858467,0
308.0,405.0250529,0
995.0,1405.237295,0
83.0,109.2924428,1
-11.0,77.95239082,0
761.0,953.3862781,1
364.0,433.6316572,1
780.0,961.4733198,1
290.0,372.2016591,0
-27.0,55.36771919,0
835.0,1239.254058,0
7.0,88.02021473,0
38.0,336.2953051,0
563.0,714.9218288,0
497.0,868.3254109,0
207.0,553.4409009,0
458.0,802.0589018,0
446.0,471.5131114,0
220.0,559.6020998,1
353.0,709.1754533,0
573.0,699.8668306,1
-15.0,282.3551373,0
532.0,639.9820941,0
795.0,1009.065896,0
108.0,429.7565375,0
697.0,1078.232484,0
399.0,499.1846595,0
264.0,598.281535,1
483.0,581.0250684,1
282.0,622.5681081,1
417.0,768.8207973,1
264.0,327.3925253,0
607.0,700.4503236,1
-43.0,-34.15063079,0
98.0,415.2501735,0
487.0,861.7732221,1
453.0,559.0064448,1
341.0,424.8711685,0
806.0,1200.308231,1
39.0,362.5657391,1
702.0,880.6001969,1
143.0,474.2041242,1
547.0,913.4635446,1
714.0,1100.42939,1
590.0,679.1232548,0
695.0,1076.370143,0
20.0,91.79851587,0
801.0,888.401174,1
910.0,1315.242299,1
461.0,587.216846,1
313.0,411.2129022,0
548.0,907.3850307,0
550.0,933.8537757,0
360.0,405.1971975,1
-84.0,197.8894924,1
741.0,1139.950086,1
430.0,542.9920468,1
142.0,223.3251576,0
949.0,1109.048595,1
385.0,716.7841129,0
376.0,506.7103077,0
777.0,933.7125708,1
552.0,920.0676004,0
-29.0,61.10993481,0
105.0,233.3465093,1
74.0,102.2080716,0
-96.0,211.3686827,1
648.0,1039.40354,0
175.0,280.692984,1
28.0,358.0840154,0
401.0,752.0512713,1
675.0,785.3478152,1
519.0,607.5299612,1
985.0,1148.184016,0
433.0,535.3639859,1
65.0,181.5942388,1
27.0,318.4179902,0
-6.0,297.8346312,0
395.0,557.0312164,0
580.0,682.1215712,1
688.0,792.4487865,0
89.0,407.2788819,0
703.0,781.7352436,0
34.0,86.05882865,0
780.0,1183.993012,0
942.0,1064.693863,0
-95.0,191.6041896,1
-88.0,-39.85807023,0
114.0,225.0851137,1
486.0,620.1108516,0
139.0,452.7197071,0
43.0,345.1482882,0
846.0,928.3253428,1
444.0,536.5780611,0
582.0,963.2334357,0
135.0,475.1025862,1
768.0,1003.221806,1
887.0,1118.379888,0
37.0,133.0661756,0
969.0,1097.186565,0
992.0,1423.504543,0
718.0,1105.521844,1
227.0,568.8312069,1
701.0,811.8649487,0
911.0,1125.029611,0
-91.0,198.6662116,1
510.0,897.1280793,1
464.0,830.2578574,1
183.0,243.4299134,0
54.0,191.8538742,1
625.0,1000.207471,1
939.0,1359.141689,0
191.0,511.2828453,1
640.0,783.0248789,0
325.0,463.977701,0
308.0,643.0874594,1
283.0,396.3805443,0
361.0,477.1979366,1
907.0,1080.035625,1
956.0,1400.530132,0
-38.0,-2.557501276,1
684.0,1069.740361,0
920.0,1075.664941,0
319.0,387.3862271,1
591.0,967.0245453,0
-33.0,14.44145391,1
13.0,34.43736737,1
171.0,281.6560553,1
-58.0,-41.69622465,0
892.0,1067.678799,0
770.0,989.9292803,1
262.0,594.6355969,1
857.0,1005.242355,0
614.0,987.5784905,0
-9.0,-15.59443358,1
513.0,658.2189992,0
375.0,719.8520575,0
731.0,1126.174506,0
720.0,1132.027773,0
359.0,719.8651217,0
240.0,286.6565186,0
420.0,780.4618013,1
208.0,535.4605656,0
778.0,923.1226311,1
595.0,981.9766313,0
693.0,922.9538926,0
752.0,873.4702461,0
-18.0,7.613335997,0
673.0,1075.138123,1
528.0,915.5515836,1
563.0,937.7299477,0
593.0,755.1129111,0
808.0,979.9427929,0
53.0,372.2982261,0
870.0,1287.713263,0
66.0,382.3246138,0
791.0,1189.791251,0
775.0,951.7696807,0
590.0,957.2310016,1
685.0,1054.878543,1
995.0,1427.482445,1
753.0,832.0436294,1
661.0,1044.357934,0
536.0,668.6909236,0
17.0,43.921857,0
66.0,46.49187077,0
-67.0,230.6228263,0
374.0,471.065168,0
288.0,346.5740481,0
555.0,925.2903753,1
594.0,968.1353632,1
46.0,164.4586165,0
264.0,602.4688899,0
387.0,595.2296303,1
140.0,188.9427551,0
47.0,181.2075137,1
818.0,1218.368265,1
443.0,577.8609271,0
130.0,208.5409017,0
944.0,1111.01546,0
131.0,196.2064965,1
366.0,710.6751283,1
538.0,894.2329991,0
632.0,726.306861,1
85.0,408.8154884,1
542.0,911.2234559,1
167.0,492.9906287,0
260.0,605.9972605,1
987.0,1268.007288,0
-51.0,-31.92326023,0
737.0,1114.035537,1
139.0,167.4675135,0
145.0,200.3782245,1
124.0,439.0948705,1
255.0,593.9358506,0
219.0,256.3255783,0
853.0,1260.108646,0
61.0,156.9020839,0
171.0,488.8694823,0
721.0,1120.177566,0
905.0,1328.484992,0
-90.0,210.9123266,1
929.0,1122.803323,0
-52.0,17.73154925,1
470.0,821.4216415,1
278.0,368.9041502,0
808.0,1225.35333,0
69.0,120.2010693,1
68.0,77.68511798,1
-23.0,271.2794775,1
595.0,960.6798891,0
259.0,410.1195501,0
323.0,416.4704558,0
464.0,826.6261966,0
518.0,890.7499424,1
477.0,565.5117866,1
931.0,1343.130786,1
-3.0,22.48839746,0
-87.0,-70.1270829,1
878.0,1283.606756,0
-87.0,-69.58856258,1
251.0,594.8066751,1
71.0,388.1346852,0
311.0,391.4086099,0
-52.0,244.1538159,0
82.0,408.4380418,0
854.0,1008.903852,1
153.0,479.59228,0
628.0,732.2043708,1
-14.0,295.8432245,0
995.0,1196.134313,1
583.0,958.9554939,0
600.0,770.5721805,0
447.0,809.6211965,0
164.0,264.7687674,1
11.0,63.568838,0
77.0,389.994469,1
-68.0,246.8320809,1
536.0,905.4884066,1
828.0,1238.876989,0
431.0,782.3152201,0
749.0,1146.798399,1
348.0,689.094506,1
664.0,1034.967781,1
891.0,1295.241011,0
199.0,291.4671835,1
179.0,275.5517274,0
511.0,631.9769577,0
-18.0,25.2240014,0
-68.0,237.6563779,1
220.0,570.5977221,0
243.0,589.5161063,0
531.0,896.0988054,0
60.0,369.2893186,1
842.0,1244.235804,1
88.0,407.9510063,0
431.0,796.5347382,1
532.0,723.1989856,1
713.0,1097.65971,0
-99.0,184.7242057,0
-51.0,261.5289932,1
-33.0,95.53476281,0
225.0,305.4726913,1
-8.0,297.5154002,1
629.0,1015.245627,0
899.0,1044.53154,0
744.0,923.3851453,0
995.0,1419.937957,1
737.0,909.8628803,1
150.0,470.8845637,1
50.0,135.328366,0
849.0,1252.226215,1
351.0,705.0640264,1
127.0,444.2690886,0
83.0,98.13811986,1
767.0,979.973622,0
530.0,653.1535844,0
113.0,448.9483858,0
26.0,94.7258328,1
189.0,272.590448,1
918.0,1342.131424,1
74.0,391.841317,0
-69.0,44.01285685,0
874.0,1053.505867,1
785.0,1209.704995,0
912.0,1143.784526,1
643.0,804.7466611,1
699.0,821.6461373,1
777.0,837.2199238,0
816.0,1227.904995,0
132.0,213.4816586,1
874.0,1072.806857,0
881.0,1308.341365,0
-25.0,14.50835505,1
-38.0,-5.251684434,0
421.0,534.4427799,0
539.0,902.5863759,1
27.0,148.5238038,1
671.0,1054.162972,1
526.0,677.4742284,1
920.0,1033.133976,1
-91.0,-22.61672722,1
967.0,1373.685061,0
218.0,339.5178141,1
854.0,1257.94687,1
989.0,1199.641561,0
13.0,321.2470718,1
263.0,325.846458,1
278.0,321.6573194,1
831.0,975.8542237,1
-24.0,288.9800264,0
970.0,1163.101311,1
732.0,857.820625,0
955.0,1388.671156,0
210.0,528.1327611,1
190.0,298.8861049,0
650.0,794.990821,0
479.0,833.7296409,0
562.0,622.7064692,0
577.0,632.4203685,0
96.0,420.6840265,0
740.0,917.1387284,1
479.0,580.0029855,0
